decision_key,entity_type,title,proposed_source,match_method,decision,notes
assignment:prep-work-coaching-session-attendance,assignment,Prep Work: Coaching Session Attendance,syllabus/project_1_timeline.qmd,course_project_rule,approve_reference,Use the shared Project 1 timeline; retain the separate Canvas checkpoint shell.
assignment:project-2-research-proposal,assignment,Project 2 - Research Proposal,syllabus/project_2_prompt.qmd,course_project_rule,approve_reference,Use the Project 2 prompt as the shared instructions.
assignment:prep-work-clean-data-set,assignment,Prep Work: Clean Data Set,syllabus/project_1_timeline.qmd,course_project_rule,approve_reference,Use the shared Project 1 timeline; retain the separate Canvas checkpoint shell.
assignment:analysis-project-code,assignment,Analysis Project - Code,syllabus/project_1_prompt.qmd,course_project_rule,approve_reference,Retain the file-upload shell; grade technical documentation from the submitted files.
assignment:project-2-research-proposal-fixed-groups,assignment,Project 2 - Research Proposal [Fixed Groups],syllabus/project_2_prompt.qmd,course_project_rule,approve_reference,Use the same Project 2 instructions while retaining the fixed-group assignment shell.
assignment:analysis-project-slides,assignment,Analysis Project - Slides,syllabus/project_1_presentation_in_person.qmd,course_project_rule,approve_reference,Retain the file-upload shell and link to the shared presentation requirements.
assignment:prep-work-pre-coaching-presentation-draft,assignment,Prep Work: Pre-Coaching Presentation Draft,syllabus/project_1_timeline.qmd,course_project_rule,approve_reference,Use the shared Project 1 timeline; retain the separate Canvas checkpoint shell.
assignment:analysis-project-individual-score,assignment,Analysis Project - Individual Score,,course_project_rule,calculated_grade,Calculate separately to adjust the group result for individual group dynamics; do not publish source instructions.
assignment:prep-work-analysis-plan,assignment,Prep Work: Analysis Plan,syllabus/project_1_timeline.qmd,course_project_rule,approve_reference,Use the shared Project 1 timeline; retain the separate Canvas checkpoint shell.
assignment:analysis-project-presentation,assignment,Analysis Project - Presentation,syllabus/project_1_presentation_in_person.qmd,course_project_rule,manual_grade,Grade the live in-class presentation; no student file submission is required here.
external:final-practicum,external_url,Final Practicum - Posit Cloud,admin/final/final_practicum.manifest.json,course_practicum_rule,approve_reference,Build the private source project from the tracked manifest and inject its Posit Cloud assignment URL at publication.
page:how-should-i-study-for-the-practicum,page,How should I study for the Practicum?,admin/final/Practice_Practicum_Guidelines.qmd,course_practicum_rule,approve_reference,The exported guidance matches the tracked repository source.
discussion:practicum-practice,discussion,Practicum Practice,canvas/content/discussions/practicum-practice.md,course_practicum_rule,approve_reference,Inject the Practice Practicum Posit Cloud assignment URL at publication.
attachment:week-1-intro-to-data-analysis:week-01-slides-pdf,attachment,Week_01_Slides.pdf,week01/week_01.qmd,derived_slide_attachment,generate_pdf,Render the Reveal deck and retain a static PDF in Canvas.
attachment:week-2-descriptive-statistics:week-02-slides-pdf,attachment,Week_02_Slides.pdf,week02/week_02.qmd,derived_slide_attachment,generate_pdf,Render the Reveal deck and retain a static PDF in Canvas.
attachment:week-3-data-visualization:week-03-slides-pdf,attachment,Week_03_Slides.pdf,week03/week_03.qmd,derived_slide_attachment,generate_pdf,Render the Reveal deck and retain a static PDF in Canvas.
attachment:week-4-communicating-data:week-04-slides-pdf,attachment,Week_04_Slides.pdf,week04/week_04.qmd,derived_slide_attachment,generate_pdf,Render the Reveal deck and retain a static PDF in Canvas.
attachment:week-5-problem-definition-project-1-work-time:week-05-slides-pdf,attachment,Week_05_Slides.pdf,week05/week_05.qmd,derived_slide_attachment,generate_pdf,Render the Reveal deck and retain a static PDF in Canvas.
attachment:week-6-hypothesis-testing:week-06-slides-pdf,attachment,Week_06_Slides.pdf,week06/week_06.qmd,derived_slide_attachment,generate_pdf,Render the Reveal deck and retain a static PDF in Canvas.
attachment:week-7-inferential-stats-chi-squared-analysis:week-07-slides-pdf,attachment,Week_07_Slides.pdf,week07/week_07.qmd,derived_slide_attachment,generate_pdf,Render the Reveal deck and retain a static PDF in Canvas.
attachment:week-13-advanced-analytics-techniques-experiment-design-machine-learning:week13-slides-pptx,attachment,Week13_Slides.pptx,week13/week_13.qmd,derived_slide_attachment,defer_source_revision,The Week 13 QMD is a draft and is not yet the authoritative replacement for the PowerPoint.
