module,content_type,title,decision,notes
Course Info and Resources,DiscussionTopic,"General Q & A Discussion (course policies, syllabus, etc.)",repository_source,Use canvas/content/discussions/general-qa.md.
Course Info and Resources,WikiPage,Instructor Contact Info,repository_template,Use canvas/content/pages/instructor-contact.md; inject office hours and private Zoom URL at publication.
Course Info and Resources,WikiPage,Student Hours Zoom Link,repository_template,Use canvas/content/pages/student-hours.md; never commit the private Zoom URL.
Week 1: Intro to Data Analysis,WikiPage,Reading: What is Data Literacy?,repository_source,Use week01/readings/data-literacy.qmd.
Week 1: Intro to Data Analysis,WikiPage,Resource: Data Literacy Terminology,repository_source,Use week01/readings/data-literacy-terminology.qmd.
Week 1: Intro to Data Analysis,WikiPage,Reading: Data Sources,repository_source,Use week01/readings/data-sources.qmd.
Week 1: Intro to Data Analysis,Assignment,Guided Notes 1 - Data Literacy,repository_source,Use week01/Guided_Notes_01.qmd; render a DOCX when a downloadable worksheet is needed.
Week 1: Intro to Data Analysis,WikiPage,LabPrep for Lab 1,repository_template,Use canvas/content/pages/week01-lab-prep.md; inject the current Lab 1 dataset URL at publication.
Week 1: Intro to Data Analysis,Assignment,Technology Set-Up,repository_template,Use canvas/content/assignments/technology-setup.md; inject the private Posit Cloud join URL at publication.
Week 2: Descriptive Statistics,WikiPage,Resource: Descriptive Statistics,repository_source,Use week02/readings/descriptive-statistics.qmd.
Week 2: Descriptive Statistics,WikiPage,Optional resources from Microsoft,repository_source,Use canvas/content/pages/week02-microsoft-excel-resources.md.
Week 2: Descriptive Statistics,Assignment,Guided Notes 2 - Descriptive Statistics & Data Literacy,repository_source,Use week02/Guided_Notes_02.qmd; render a DOCX when a downloadable worksheet is needed.
Week 2: Descriptive Statistics,WikiPage,Lab 2 Descriptive Statistics and Cross Tabs,repository_template,Use canvas/content/pages/week02-lab.md; inject the lab download and Posit Cloud URLs at publication.
Week 2: Descriptive Statistics,WikiPage,Video Demo: Excel Detailed Examples,repository_source,Use canvas/content/pages/week02-excel-detailed-examples.md.
Week 2: Descriptive Statistics,WikiPage,Video Tutorial: Medians in Excel Pivot Tables,repository_source,Use canvas/content/pages/week02-excel-medians.md.
Week 2: Descriptive Statistics,WikiPage,Video Tutorials: R / Posit.Cloud,repository_source,Use canvas/content/pages/week02-r-posit-cloud-videos.md.
Week 2: Descriptive Statistics,WikiPage,Video Tutorial: Medians in Excel Pivot Tables for Macs,remove_duplicate,Use the combined Windows and Mac resource at canvas/content/pages/week02-excel-medians.md.
